
















2017-08-29 23:17:18,"breast, cancer",28846324,Spiradenoma.,International journal of surgery case reports,"Miceli A, Ferrer-Bruker SJ.",2017,"[<abstracttext>Spiradenomas are well-differentiated, benign, dermal neoplasms originating from the sweat glands. Most spiradenomas occur between the ages of 15 to 35 years. Typically, they present as small solitary nodules that can grow to several centimeters, often with a blue, gray, or purple hue. They are strikingly painful. Spiradenomas usually arise on the head, neck, and trunk; however, cases in other areas such as the breast have occurred. Spiradenomas with varying morphology like multiple linear, zosteriform, blaschkoid, and nevoid spiradenomas have also been reported. Spiradenomas can occur concomitantly with cylindromas, trichoepitheliomas, and/or trichoblastomas. In patients with Brooke-Spiegler, multiple spiradenomas, cylindromas, and trichoepitheliomas can be seen.</abstracttext>]","['/books/NBK448150/""><img src=""/corehtml/pmc/pmcgifs/bookshelf/thumbs/th-statpearls.png"" alt=""Click here to read"" /></a></div><div class=""v_align_center""><a class=""book_title_link""']"
2017-08-29 23:17:20,"breast, cancer",28846943,Breast metastasis nine years after nephrectomy for renal cell carcinoma: A case report.,Translational oncology,"Ishigaki T, Kinoshita S, Shimada N, Miyake R, Suzuki M, Takeyama H.",2017,"[<abstracttext label=""INTRODUCTION"" nlmcategory=""BACKGROUND"">The breast is a rare site for metastatic disease. We report a rare case of breast metastasis 9 years after nephrectomy for renal cell carcinoma (RCC) and include a review of the relevant literature.</abstracttext>, <abstracttext label=""PRESENTATION OF CASE"" nlmcategory=""METHODS"">An 82-year-old woman who developed an RCC underwent left nephrectomy in 2005. In October 2014, computed tomography (CT) revealed a mass of approximately 1cm in the lateral portion of the right breast. Breast ultrasonography (US) revealed a well-circumscribed, hypoechoic mass at the same site. Fine needle aspiration (FNA) was performed, but the sample was inadequate because it did not capture breast duct epithelial cells. In June 2015, follow-up US revealed enlargement of the mass, and core needle biopsy (CNB) was performed to confirm the diagnosis. Histological examination resulted in the diagnosis of breast metastasis from an RCC. The patient underwent surgery for partial mastectomy in November 2015. The patient was asymptomatic and free of detectable disease at 18-month follow-up.</abstracttext>, <abstracttext label=""DISCUSSION"" nlmcategory=""CONCLUSIONS"">The diagnosis of breast metastasis by imaging examination is difficult, and the results of FNA examination are often inconclusive because of the absence of breast duct epithelial cells. Only 22 cases of breast metastasis from RCC have been described in the literature. In almost all the reported cases, lumpectomy or partial mastectomy was performed.</abstracttext>, <abstracttext label=""CONCLUSION"" nlmcategory=""CONCLUSIONS"">It is important that histological diagnosis be determined by CNB and by other methods if the patient has a history of malignancy, and minimally invasive therapy should be performed in accordance with the prognosis.</abstracttext>]",[]
2017-08-29 23:17:22,"breast, cancer",28846937,"A Novel IMP1 Inhibitor, BTYNB, Targets c-Myc and Inhibits Melanoma and Ovarian Cancer Cell Proliferation.",Molecular oncology,"Mahapatra L, Andruska N, Mao C, Le J, Shapiro DJ.",2017,"[<abstracttext>The oncofetal mRNA-binding protein, IMP1 or insulin-like growth factor-2 mRNA-binding protein 2 (IGF2BP1), binds to and stabilizes c-Myc, β-TrCP1, and other oncogenic mRNAs, leading to increased expression of the proteins encoded by its target mRNAs. IMP1 is frequently overexpressed in cancer and is strongly correlated with a poor prognosis and reduced survival in melanoma, ovarian, breast, colon, and lung cancer. While IMP1 is an attractive anticancer drug target, there are no small molecule inhibitors of IMP1. A fluorescence anisotropy-based assay was used to screen 160,000 small molecules for their ability to inhibit IMP1 binding to fluorescein-labeled c-Myc mRNA. The small molecule, BTYNB, was identified as a potent and selective inhibitor of IMP1 binding to c-Myc mRNA. In cells, BTYNB downregulates several mRNA transcripts regulated by IMP1. BTYNB destabilizes c-Myc mRNA, resulting in downregulation of c-Myc mRNA and protein. BTYNB downregulates β-TrCP1 mRNA and reduces activation of nuclear transcriptional factors-kappa B (NF-κB). The oncogenic translation regulator, eEF2, emerged as a new IMP1 target mRNA, enabling BTYNB to inhibit tumor cell protein synthesis. BTYNB potently inhibited proliferation of IMP1-containing ovarian cancer and melanoma cells with no effect in IMP1-negative cells. Overexpression of IMP1 reversed BTYNB inhibition of cell proliferation. BTYNB completely blocked anchorage-independent growth of melanoma and ovarian cancer cells in colony formation assays. With its ability to target c-Myc and to inhibit proliferation of difficult-to-target melanomas and ovarian cancer cells, and with its unique mode of action, BTYNB is a promising small molecule for further therapeutic evaluation and mechanistic studies.</abstracttext>]",[]
2017-08-29 23:17:24,"breast, cancer",28846832,Induction of a novel isoform of the lncRNA HOTAIR in Claudin-low breast cancer cells attached to extracellular matrix.,PloS one,"Li M, Li X, Zhuang Y, Flemington EK, Zhen L, Shan B.",2017,"[<abstracttext>Elevated overexpression of the lncRNA HOTAIR mediates invasion and metastasis in breast cancer. In an apparent paradox, we observed low expression of HOTAIR in the invasive Claudin-low MDA-MB-231 and Hs578T cells in two-dimensional culture (2D). However, HOTAIR expression exhibited robust induction in laminin-rich extracellular matrix based three-dimensional organotypic culture (lrECM 3D) over that in 2D culture. Induction of HOTAIR required intact ECM signaling, namely integrin α2 and SRC kinase activity. Moreover, invasive growth was abrogated by HOTAIR-specific siRNAs. Induction of HOTAIR in lrECM 3D culture resulted from activation of a novel isoform of HOTAIR (HOTAIR-N) whose transcription is started from the 1<sup>st</sup> intron of the HOXC11 gene. The HOTAIR-N promoter exhibited increased trimethylation of histone H3 lysine 4, a histone marker of active transcription, and binding of BRD4, a reader of transcriptionally active histone markers. Inhibition of BRD4 substantially reduced the expression of HOTAIR in lrECM 3D culture. In summary, our results indicate that HOTAIR expression is activated by BRD4 binding to a novel HOTAIR-N promoter in Claudin-low breast cancer cells that are attached to ECM. Induction of HOTAIR is required for invasive growth of Claudin-low breast cancer cells in lrECM 3D culture.</abstracttext>]",[]
2017-08-29 23:17:26,"breast, cancer",28846735,Circulating interleukin-8 and tumor necrosis factor-α are associated with hot flashes in healthy postmenopausal women.,PloS one,"Huang WY, Hsin IL, Chen DR, Chang CC, Kor CT, Chen TY, Wu HM.",2017,"[<abstracttext label=""INTRODUCTION"" nlmcategory=""BACKGROUND"">Hot flashes have been postulated to be linked to systemic inflammation. This study aimed to investigate the relationship between hot flashes, pro-inflammatory factors, and leukocytes in healthy, non-obese postmenopausal women.</abstracttext>, <abstracttext label=""PARTICIPANTS AND DESIGN"" nlmcategory=""METHODS"">In this cross-sectional study, a total of 202 women aged 45-60 years were stratified into one of four groups according to their hot-flash status: never experienced hot flashes (Group N), mild hot flashes (Group m), moderate hot flashes (Group M), and severe hot flashes (Group S). Variables measured in this study included clinical parameters, hot flash experience, leukocytes, and fasting plasma levels of nine circulating cytokines/chemokines measured by using multiplex assays. Multiple linear regression analysis was used to evaluate the associations of hot flashes with these pro-inflammatory factors.</abstracttext>, <abstracttext label=""SETTINGS"" nlmcategory=""METHODS"">The study was performed in a hospital medical center.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">The mean values of leukocyte number were not different between these four groups. The hot flash status had a positive tendency toward increased levels of circulating IL-6 (P-trend = 0.049), IL-8 (P-trend &lt; 0.001), TNF-α (P-trend = 0.008), and MIP1β (P-trend = 0.04). Multivariate linear regression analysis revealed that hot-flash severity was significantly associated with IL-8 (P-trend &lt; 0.001) and TNFα (P-trend = 0.007) among these nine cytokines/chemokines after adjustment for age, menopausal duration, BMI and FSH. Multivariate analysis further revealed that severe hot flashes were strongly associated with a higher IL-8 (% difference, 37.19%; 95% confidence interval, 14.98,63.69; P &lt; 0.001) and TNFα (51.27%; 6.64,114.57; P &lt; 0.05).</abstracttext>, <abstracttext label=""CONCLUSION"" nlmcategory=""CONCLUSIONS"">The present study provides evidence that hot flashes are associated with circulating IL-8 and TNF-α in healthy postmenopausal women. It suggests that hot flashes might be related to low-grade systemic inflammation.</abstracttext>]",[]
2017-08-29 23:17:28,"breast, cancer",28846716,Association between local inflammation and breast tissue age-related lobular involution among premenopausal and postmenopausal breast cancer patients.,"Foods (Basel, Switzerland)","Hanna M, Dumas I, Orain M, Jacob S, Têtu B, Sanschagrin F, Bureau A, Poirier B, Diorio C.",2017,"[<abstracttext>Increased levels of pro-inflammatory markers and decreased levels of anti-inflammatory markers in the breast tissue can result in local inflammation. We aimed to investigate whether local inflammation in the breast tissue is associated with age-related lobular involution, a process inversely related to breast cancer risk. Levels of eleven pro- and anti-inflammatory markers were assessed by immunohistochemistry in normal breast tissue obtained from 164 pre- and postmenopausal breast cancer patients. Involution status of the breast (degree of lobular involution and the predominant lobule type) was microscopically assessed in normal breast tissue on hematoxylin-eosin stained mastectomy slides. Multivariate generalized linear models were used to assess the associations. In age-adjusted analyses, higher levels of pro-inflammatory markers IL-6, TNF-α, CRP, COX-2, leptin, SAA1 and IL-8; and anti-inflammatory marker IL-10, were inversely associated with the prevalence of complete lobular involution (all P≤0.04). Higher levels of the pro-inflammatory marker COX-2 were also associated with lower prevalence of predominant type 1/no type 3 lobules in the breast, an indicator of complete involution, in age-adjusted analysis (P = 0.017). Higher tissue levels of inflammatory markers, mainly the pro-inflammatory ones, are associated with less involuted breasts and may consequently be associated with an increased risk of developing breast cancer.</abstracttext>]",[]
2017-08-29 23:17:30,"breast, cancer",28846628,Cytotoxicity of the Essential Oil of Fennel (Foeniculum vulgare) from Tajikistan.,Inorganic chemistry,"Sharopov F, Valiev A, Satyal P, Gulmurodov I, Yusufi S, Setzer WN, Wink M.",2017,"[<abstracttext>The essential oil of fennel (<i>Foeniculum vulgare</i>) is rich in lipophilic secondary metabolites, which can easily cross cell membranes by free diffusion. Several constituents of the oil carry reactive carbonyl groups in their ring structures. Carbonyl groups can react with amino groups of amino acid residues in proteins or in nucleotides of DNA to form Schiff's bases. Fennel essential oil is rich in anise aldehyde, which should interfere with molecular targets in cells. The aim of the present study was to investigate the chemical composition of the essential oil of fennel growing in Tajikistan. Gas chromatographic-mass spectrometric analysis revealed that the main components of <i>F. vulgare</i> oil were <i>trans</i>-anethole (36.8%); α-ethyl-<i>p</i>-methoxy-benzyl alcohol (9.1%); <i>p</i>-anisaldehyde (7.7%); carvone (4.9%); 1-phenyl-penta-2,4-diyne (4.8%) and fenchyl butanoate (4.2%). The oil exhibited moderate antioxidant activities. The potential cytotoxic activity was studied against HeLa (human cervical cancer), Caco-2 (human colorectal adenocarcinoma), MCF-7 (human breast adenocarcinoma), CCRF-CEM (human T lymphoblast leukaemia) and CEM/ADR5000 (adriamycin resistant leukaemia) cancer cell lines; IC<sub>50</sub> values were between 30-210 mg L<sup>-1</sup> and thus exhibited low cytotoxicity as compared to cytotoxic reference compounds.</abstracttext>]",[]
2017-08-29 23:17:32,"breast, cancer",28846407,Monofunctional BODIPY-Appended Imidazoplatin for Cellular Imaging and Mitochondria-Targeted Photocytotoxicity.,Oncogene,"Raza MK, Gautam S, Garai A, Mitra K, Kondaiah P, Chakravarty AR.",2017,"[<abstracttext>Monofunctional platinum(II) complexes of formulation cis-[Pt(NH<sub>3</sub>)<sub>2</sub>(L)Cl](NO<sub>3</sub>), where L is an imidazole base conjugated to 4,4-difluoro-4-bora-3a,4a-diaza-s-indacene (BODIPY) with emissive (L<sup>1</sup> in 1) and nonemissive (L<sup>2</sup> in 2) moieties were prepared and characterized, and their singlet oxygen-mediated photoinduced cytotoxicity was studied. The 1-methylimidazole (1-MeIm) complex 3 was prepared as a control and for structural characterization by X-ray crystallography. Complexes 1 and 2 showed strong visible absorption bands at 500 nm (ε = 2.7 × 10<sup>4</sup> M<sup>-1</sup> cm<sup>-1</sup>) and 540 nm (1.4 × 10<sup>4</sup> M<sup>-1</sup> cm<sup>-1</sup>). Complex 1 is emissive with a band at 510 nm (Φ<sub>F</sub> = 0.09) in 1% dimethyl sulfoxide/Dulbecco's Modified Eagle's Medium (pH 7.2). Singlet oxygen generation upon photoirradiation with visible light (400-700 nm) was evidenced from 1,3-diphenylisobenzofuran titration experiments showing significant photosensitizing ability of the BODIPY complexes. Both 1 and 2 were remarkably photocytotoxic in visible light (400-700 nm, 10 J cm<sup>-2</sup>) in skin keratinocyte HaCaT and breast cancer MCF-7 cells giving IC<sub>50</sub> values in nanomolar concentration. The complexes were, however, essentially nontoxic to the cells in the dark (IC<sub>50</sub> &gt; 80 μM). Complex 2 having a diiodo-BODIPY unit is nonemissive but an efficient photosensitizer with high singlet oxygen generation ability in visible light (400-700 nm). Confocal microscopy using the emissive complex 1 showed significant mitochondrial localization of the complex. Cell death via apoptotic pathway was observed from the Annexin-V-FITC/PI assay. The formation of Pt-DNA adducts was evidenced from the binding experiments of the complexes 1 and 2 with 9-ethylguanine as a model nucleobase from <sup>1</sup>H NMR and mass spectral studies.</abstracttext>]",[]
2017-08-29 23:17:34,"breast, cancer",28846114,Identification of translationally controlled tumor protein in promotion of DNA homologous recombination repair in cancer cells by affinity proteomics.,Oncogene,"Li Y, Sun H, Zhang C, Liu J, Zhang H, Fan F, Everley RA, Ning X, Sun Y, Hu J, Liu J, Zhang J, Ye W, Qiu X, Dai S, Liu B, Xu H, Fu S, Gygi SP, Zhou C.",2017,"[<abstracttext>Translationally controlled tumor protein(TCTP) has been implicated in the regulation of apoptosis, DNA repair and drug resistance. However, the underlying molecular mechanisms are poorly defined. To better understand the molecular mechanisms underlying TCTP involved in cellular processes, we performed an affinity purification-based proteomic profiling to identify proteins interacting with TCTP in human cervical cancer HeLa cells. We found that a group of proteins involved in DNA repair are enriched in the potential TCTP interactome. Silencing TCTP by short hairpin RNA in breast carcinoma MCF-7 cells leads to the declined repair efficiency for DNA double-strand breaks on the GFP-Pem1 reporter gene by homologous recombination, the persistent activation and the prolonged retention of γH2AX and Rad51 foci following ionizing radiation. Reciprocal immunoprecipitations indicated that TCTP forms complexes with Rad51 in vivo, and the stability maintenance of Rad51 requires TCTP in MCF-7 cells under normal cell culture conditions. Moreover, inactivation of TCTP by sertraline treatment enhances UVC irradiation-induced apoptosis in MCF-7 cells, and causes sensitization to DNA-damaging drug etoposide and DNA repair inhibitor olaparib. Thus, we have identified an important role of TCTP in promoting DNA double-stand break repair via facilitating DNA homologous recombination processes and highlighted the great potential of TCTP as a drug target to enhance conventional chemotherapy for cancer patients with high levels of TCTP expression.Oncogene advance online publication, 28 August 2017; doi:10.1038/onc.2017.289.</abstracttext>]",[]
2017-08-29 23:17:36,"breast, cancer",28846113,VPS34 stimulation of p62 phosphorylation for cancer progression.,Oncogene,"Jiang X, Bao Y, Liu H, Kou X, Zhang Z, Sun F, Qian Z, Lin Z, Li X, Liu X, Jiang L, Yang Y.",2017,"[<abstracttext>Vps34, a class III PtdIns3 lipid kinase involved in the control of both autophagic and endocytic systems, has been studied extensively in numerous fundamental cellular processes. Accumulating evidence indicates that Vps34 may also contribute to the development and progression of human cancers. However, the mechanism of Vps34 in tumorigenesis remains elusive. Here, we report an unanticipated role of Vps34 in the activation of p62 for cancer development. We identified that Vps34 is a transcriptional activator of p62 through competition of Nrf2 (nuclear factor erythroid 2-related factor 2) for Keap1 binding. Vps34 augments the association of PKC-δ with p62 for its phosphorylation at Serine 349, which leads to positive feedback on the Nrf2-dependent transcription of oncogenes. Additionally, we found that the expression of Vps34 is correlated with the tumorigenic activity of human breast cancer cells. Normally inactive in breast cancer, caspase 8 can cleave Vps34 at residue D285, which directly abolished its lipid kinase activity and dramatically altered cell invasion potential, colony formation, as well as tumorigenesis in orthotopic engraftments in mice. The cleavage at D285 blocks expression of LC3-II, Nrf2 and subsequently, p62, in addition to blocking tumor growth, indicating that the intact structure of Vps34 is essential for its activity. Moreover, either knockout of PKC-δ or knockdown of p62 by small interfering RNA in MCF-7 cells abrogates Vps34-dependent tumor growth. Data presented here suggested that Vps34 stimulates tumor development mainly through PKC-δ- activation of p62.Oncogene advance online publication, 28 August 2017; doi:10.1038/onc.2017.295.</abstracttext>]",[]
2017-08-29 23:17:39,"breast, cancer",28846112,Epigenetic regulation of RNA polymerase III transcription in early breast tumorigenesis.,Oncogene,"Park JL, Lee YS, Song MJ, Hong SH, Ahn JH, Seo EH, Shin SP, Lee SJ, Johnson BH, Stampfer MR, Kim HP, Kim SY, Lee YS.",2017,"[<abstracttext>RNA polymerase III (Pol III) transcribes medium-sized non-coding RNAs (collectively termed Pol III genes). Emerging diverse roles of Pol III genes suggest that individual Pol III genes are exquisitely regulated by transcription and epigenetic factors. Here we report global Pol III expression/methylation profiles and molecular mechanisms of Pol III regulation that have not been as extensively studied, using nc886 as a representative Pol III gene. In a human mammary epithelial cell system that recapitulates early breast tumorigenesis, the fraction of actively transcribed Pol III genes increases reaching a plateau during immortalization. Hyper-methylation of Pol III genes inhibits Pol III binding to DNA via inducing repressed chromatin and is a determinant for the Pol III repertoire. When Pol III genes are hypo-methylated, MYC amplifies their transcription, regardless of its recognition DNA motif. Thus, Pol III expression during tumorigenesis is delineated by methylation and magnified by MYC.Oncogene advance online publication, 28 August 2017; doi:10.1038/onc.2017.285.</abstracttext>]",[]
