"Kamemura K, Wada N, Ichijo T, Matsuda Y, Fujii Y, Kai T, Fukuoka T, Sakamoto R, Ogo A, Suzuki T, Umakoshi H, Tsuiki M, Naruse M.",2016,27582025,Significance of adrenal computed tomography in predicting laterality and indicating adrenal vein sampling in primary aldosteronism.,Journal of human hypertension,"[<abstracttext>Although laterality assessed by computed tomography (CT) in primary aldosteronism (PA) is not always concordant with that assessed by adrenal vein sampling (AVS), it is unclear whether all patients diagnosed with PA should undergo AVS for subtype classification. The aim of the current study was to investigate the accuracy of CT in subtype classification and to develop a prediction score for bilateral subtype in patients without adrenal tumour. As part of the WAVES-J study, 393 patients with PA were analysed. Subtyping using CT was concordant with that using AVS in 68% (269/393) of patients in the total sample, and in 38% (68/156) of patients with unilateral tumours, 56% (5/9) of patients with bilateral tumours and 89% (204/228) of patients without tumour. In patients without tumour, female gender, plasma aldosterone concentration (pg ml<sup>-1</sup>) to plasma renin activity ratio ⩽550 and serum potassium ⩾3.8 mEq l<sup>-1</sup> were shown to be independent predictors for bilateral subtype. A prediction score based on these three variables was constructed with one point attributed to each variable. A score of three points had 29% sensitivity and 96% specificity in a receiver operating characteristic curve analysis. The results suggest that although CT is not sufficiently accurate for subtype classification in patients with adrenal tumours, it is sufficient to determine bilateral subtype in patients without tumour. Moreover, using our clinical prediction score in patients without tumour could be useful in determining the necessity of AVS for subtype classification.Journal of Human Hypertension advance online publication, 1 September 2016; doi:10.1038/jhh.2016.61.</abstracttext>]",['http://dx.doi.org/10.1038/jhh.2016.61']
"Seyhan AA, Nunez Lopez YO, Xie H, Yi F, Mathews C, Pasarica M, Pratley RE.",2016,27558530,Pancreas-enriched miRNAs are altered in the circulation of subjects with diabetes: a pilot cross-sectional study.,Scientific reports,"[<abstracttext>The clinical presentation of diabetes sometimes overlaps, contributing to ambiguity in the diagnosis. Thus, circulating pancreatic islet-enriched microRNAs (miRNAs) might be useful biomarkers of β-cell injury/dysfunction that would allow more accurate subtyping of diabetes. We measured plasma levels of selected miRNAs in subjects with prediabetes (n = 12), type 2 diabetes (T2D, n = 31), latent autoimmune diabetes of adults (LADA, n = 6) and type 1 diabetes (T1D, n = 16) and compared them to levels in healthy control subjects (n = 27). The study was conducted at the Translational Research Institute for Metabolism and Diabetes (TRI-MD), Florida Hospital. MiRNAs including miR-375 (linked to β-cell injury), miR-21 (associated with islet inflammation), miR-24.1, miR-30d, miR-34a, miR-126, miR-146, and miR-148a were significantly elevated in subjects with various forms of diabetes compared to healthy controls. Levels of several miRNAs were significantly correlated with glucose responses during oral glucose tolerance testing, HbA1c, β-cell function, and insulin resistance in healthy controls, prediabetes, and T2D. These data suggest that miRNAs linked to β-cell injury and islet inflammation might be useful biomarkers to distinguish between subtypes of diabetes. This information could be used to predict progression of the disease, guide selection of optimal therapy and monitor responses to interventions, thus improving outcomes in patients with diabetes. </abstracttext>]","['http://dx.doi.org/10.1038/srep31479', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27558530/']"
Reincke M.,2016,27325146,Adrenal vein sampling for subtyping in primary aldosteronism.,The lancet. Diabetes &amp; endocrinology,[],['https://linkinghub.elsevier.com/retrieve/pii/S2213-8587(16)30113-9']
"Eisenhofer G, Dekkers T, Peitzsch M, Dietz AS, Bidlingmaier M, Treitl M, Williams TA, Bornstein SR, Haase M, Rump LC, Willenberg HS, Beuschlein F, Deinum J, Lenders JW, Reincke M.",2016,26787761,Mass Spectrometry-Based Adrenal and Peripheral Venous Steroid Profiling for Subtyping Primary Aldosteronism.,Clinical chemistry,"[<abstracttext label=""BACKGROUND"" nlmcategory=""BACKGROUND"">Differentiating patients with primary aldosteronism caused by aldosterone-producing adenomas (APAs) from those with bilateral adrenal hyperplasia (BAH), which is essential for choice of therapeutic intervention, relies on adrenal venous sampling (AVS)-based measurements of aldosterone and cortisol. We assessed the utility of LC-MS/MS-based steroid profiling to stratify patients with primary aldosteronism.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">Fifteen adrenal steroids were measured by LC-MS/MS in peripheral and adrenal venous plasma from AVS studies for 216 patients with primary aldosteronism at 3 tertiary referral centers. Ninety patients were diagnosed with BAH and 126 with APAs on the basis of immunoassay-derived adrenal venous aldosterone lateralization ratios.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">Among 119 patients confirmed to have APAs at follow-up, LC-MS/MS-derived lateralization ratios of aldosterone normalized to cortisol, dehydroepiandrosterone, and androstenedione were all higher (P &lt; 0.0001) than immunoassay-derived ratios. The hybrid steroids, 18-oxocortisol and 18-hydroxycortisol, also showed lateralized secretion in 76% and 35% of patients with APAs. Adrenal venous concentrations of glucocorticoids and androgens were bilaterally higher in patients with BAH than in those with APAs. Consequently, peripheral plasma concentrations of 18-oxocortisol were 8.5-fold higher, whereas concentrations of cortisol, corticosterone, and dehydroepiandrosterone were lower in patients with APAs than in those with BAH. Correct classification of 80% of cases of APAs vs BAH was thereby possible by use of a combination of steroids in peripheral plasma.</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">LC-MS/MS-based steroid profiling during AVS achieves higher aldosterone lateralization ratios in patients with APAs than immunoassay. LC-MS/MS also enables multiple measures for discriminating unilateral from bilateral aldosterone excess, with potential use of peripheral plasma for subtype classification.</abstracttext>]",['http://www.clinchem.org/cgi/pmidlookup?view=long&pmid=26787761']
"Kiseljak-Vassiliades K, Xu M, Mills TS, Smith EE, Silveira LJ, Lillehei KO, Kerr JM, Kleinschmidt-DeMasters BK, Wierman ME.",2015,26391562,Differential somatostatin receptor (SSTR) 1-5 expression and downstream effectors in histologic subtypes of growth hormone pituitary tumors.,Molecular and cellular endocrinology,"[<abstracttext label=""PURPOSE"" nlmcategory=""OBJECTIVE"">The aim of this study was to examine whether differential expression of somatostatin receptors (SSTR) 1-5 and downstream effectors are different in densely (DG) and sparsely (SG) granulated histological growth hormone (GH) pituitary tumor subtypes.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">The study included 33 acromegalic patients with 23 DG and 10 SG tumors. SSTR1-5 were measured by qPCR and immunoblotting. Signaling candidates downstream of SSTR2 were also assessed.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">SSTR2 mRNA and protein levels were significantly higher in DG compared to SG tumors. Downstream of SSTR2, p27(kip1) was decreased (2.6-fold) in SG compared to DG tumors, suggesting a potential mechanism of SSA resistance in SG tumors with intact SSTR2 expression. Re-expression of E-cadherin in GH pituitary cell increased p27(kip1) levels.</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">Histological subtyping correlated with SSTR2, E cadherin and p27(kip) protein levels and these may serve as useful biomarkers in GH tumors to predict behavior and response to therapy with SSA.</abstracttext>]","['https://linkinghub.elsevier.com/retrieve/pii/S0303-7207(15)30082-4', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/26391562/']"
Seyhan AA.,2015,25765998,microRNAs with different functions and roles in disease development and as potential biomarkers of diabetes: progress and challenges.,Molecular bioSystems,"[<abstracttext>Biomarkers provide information on early detection of diseases, in determining individuals at risk of developing complications or subtyping individuals for disease phenotypes. In addition, biomarkers may lead to better treatment strategies, personalized therapy, and improved outcome. A major gap in the field of biomarker development is that we have not identified appropriate (minimally invasive, life-style independent and informative) biomarkers for the underlying disease process(es) that can be measured in readily accessible samples (e.g. serum, plasma, blood, urine). miRNAs function as regulators in wide ranging cellular and physiological functions and also participate in many physiopathological processes and thus have been linked to many diseases including diabetes, metabolic and cardiovascular diseases, cancer, neurodegenerative diseases, and autoimmunity. Many miRNAs have been shown to have predictive value as potential biomarkers in a variety of diseases including diabetes, which are detectable in some instances many years before the manifestation of disease. Although some technical challenges still remain, due to their availability in the circulation, relative stability, and ease of detection; miRNAs have emerged as a promising new class of biomarkers to provide information on early detection of disease, monitoring disease progression, in determining individual's risk of developing complications or subtyping individuals for disease phenotypes, and to monitor response to therapeutic interventions. As a final note, most of the miRNAs reported in the literature have not yet been validated in sufficiently powered and longitudinal studies for specificity for that particular disease. </abstracttext>]",['http://dx.doi.org/10.1039/c5mb00064e']
"Wu T, Yang M, Liu T, Yang L, Ji G.",2015,25667595,A metabolomics approach to stratify patients diagnosed with diabetes mellitus into excess or deficiency syndromes.,Evidence-based complementary and alternative medicine : eCAM,"[<abstracttext>The prevalence of type 2 diabetes continuously increases globally. The traditional Chinese medicine (TCM) can stratify the diabetic patients based on their different TCM syndromes and, thus, allow a personalized treatment. Metabolomics is able to provide metabolite biomarkers for disease subtypes. In this study, we applied a metabolomics approach using an ultraperformance liquid chromatography (UPLC) coupled with quadruple-time-of-flight (QTOF) mass spectrometry system to characterize the metabolic alterations of different TCM syndromes including excess and deficiency in patients diagnosed with diabetes mellitus (DM). We obtained a snapshot of the distinct metabolic changes of DM patients with different TCM syndromes. DM patients with excess syndrome have higher serum 2-indolecarboxylic acid, hypotaurine, pipecolic acid, and progesterone in comparison to those patients with deficiency syndrome. The excess patients have more oxidative stress as demonstrated by unique metabolite signatures than the deficiency subjects. The results provide an improved understanding of the systemic alteration of metabolites in different syndromes of DM. The identified serum metabolites may be of clinical relevance for subtyping of diabetic patients, leading to a personalized DM treatment. </abstracttext>]","['https://dx.doi.org/10.1155/2015/350703', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/25667595/']"
"Kiseljak-Vassiliades K, Carlson NE, Borges MT, Kleinschmidt-DeMasters BK, Lillehei KO, Kerr JM, Wierman ME.",2015,25129651,Growth hormone tumor histological subtypes predict response to surgical and medical therapy.,Endocrine,"[<abstracttext>Growth hormone (GH) pituitary tumors are associated with significant morbidity and mortality. Current treatments, including surgery and medical therapy with somatostatin analogs (SSA), dopamine agonists and/or a GH receptor antagonist, result in disease remission in approximately half of patients. Predictors of GH tumor response to different therapies have been incompletely defined based on histologic subtype, particularly densely (DG) versus sparsely (SG) granulated adenomas. The aim of this study was to examine our own institutional experience with GH adenomas and correlate how subtype related to clinical parameters as well as response to surgery and medical therapies. A retrospective chart review of 101 acromegalic patients operated by a single neurosurgeon was performed. Clinical data were correlated with histologic subtype and disease control, as defined by IGF-1 levels, and random growth hormone levels in response to surgery and/or medical therapies. SG tumors, compared to DG, occurred in younger patients (p = 0.0010), were 3-fold larger (p = 0.0030) but showed no differences in tumor-invasion characteristics (p = 0.12). DG tumors had a higher rate of remission in response to surgery compared to SG, 65.7 vs. 14.3 % (p &lt; 0.0001), as well as to medical therapy with SSAs (68.8 % for DG vs. 28.6 % for SG tumors; p = 0.028). SG tumors not controlled with SSAs consistently responded to a switch to, or addition of, a GH receptor antagonist. Histological GH tumor subtyping implicates a different clinical phenotype and biologic behavior, and provides prognostic significance for surgical success and response to medical therapies.</abstracttext>]","['https://dx.doi.org/10.1007/s12020-014-0383-y', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/25129651/']"
"Bender C, Schlosser M, Christen U, Ziegler AG, Achenbach P.",2014,24939430,GAD autoantibody affinity in schoolchildren from the general population.,Diabetologia,"[<abstracttext label=""AIMS/HYPOTHESIS"" nlmcategory=""OBJECTIVE"">Subtyping GAD autoantibody (GADA) responses using affinity measurement allows the identification of GADA-positive children with a family history of type 1 diabetes who are at risk of developing diabetes. Here, we asked whether GADA affinity is a useful marker to stratify the risk of type 1 diabetes in GADA-positive schoolchildren from the general population.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">GADA affinity was measured by competitive binding experiments with [(125)I]-labelled and unlabelled human 65 kDa isoform of GAD (GAD65) in sera from 97 GADA-positive children identified in the Karlsburg Type 1 Diabetes Risk Study of a general schoolchild population in north-eastern Germany. GADA epitope specificity was determined using radiobinding assays with [(35)S]-labelled GAD65/67 kDa isoform of GAD (GAD67) chimeric proteins.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">GADA affinity was high, ≥ 10(10) l/mol, in 33 of 35 multiple islet autoantibody-positive children. In contrast, the affinity ranged widely among 62 single GADA-positive children (median 3.1 × 10(9) l/mol; range 5.6 × 10(6) to &gt;4.0 × 10(11) l/mol; p &lt; 0.0001). High-affinity GADA were associated with HLA-DRB1*03 (p = 0.02) and predominantly directed against the C-terminal and/or middle part of the GAD65 protein. At follow-up, the affinity remained relatively constant. Five of the single GADA-positive children developed additional islet autoantibodies and had high-affinity GADA. Twenty-six children progressed to type 1 diabetes; among them, 23 had GADA affinities of ≥ 10(10) l/mol before disease onset.</abstracttext>, <abstracttext label=""CONCLUSIONS/INTERPRETATION"" nlmcategory=""CONCLUSIONS"">Schoolchildren from the general population may develop heterogeneous GADA responses, and a high affinity can identify those GADA-positive children who are more likely to progress to type 1 diabetes.</abstracttext>]",['https://dx.doi.org/10.1007/s00125-014-3294-9']
"Walser SM, Gerstner DG, Brenner B, Höller C, Liebl B, Herr CE.",2014,24100053,Assessing the environmental health relevance of cooling towers--a systematic review of legionellosis outbreaks.,International journal of hygiene and environmental health,"[<abstracttext>Bioaerosols from cooling towers are often suspected to cause community-acquired legionellosis outbreaks. Although Legionella infections can mostly be assigned to the emission sources, uncertainty exists about the release and distribution into the air, the occurrence of the respirable virulent form and the level of the infective concentration. Our study aimed to evaluate studies on legionellosis outbreaks attributed to cooling towers published within the last 11 years by means of a systematic review of the literature. 19 legionellosis outbreaks were identified affecting 12 countries. Recurring events were observed in Spain and Great Britain. In total, 1609 confirmed cases of legionellosis and a case-fatality rate of approximately 6% were reported. Duration of outbreaks was 65 days on average. For diagnosis the urinary antigen test was mainly used. Age, smoking, male sex and underlying diseases (diabetes, immunodeficiency) could be confirmed as risk factors. Smoking and underlying diseases were the most frequent risk factors associated with legionellosis in 11 and 10 of the 19 studies, respectively. The meteorological conditions varied strongly. Several studies reported a temporal association of outbreaks with inadequate maintenance of the cooling systems. A match of clinical and environmental isolates by serotyping and/or molecular subtyping could be confirmed in 84% of outbreaks. Legionella-contaminated cooling towers as environmental trigger, in particular in the neighbourhood of susceptible individuals, can cause severe health problems and even death. To prevent and control Legionella contamination of cooling towers, maintenance actions should focus on low-emission cleaning procedures of cooling towers combined with control measurements of water and air samples. Procedures allowing rapid detection and risk assessment in the case of outbreaks are essential for adequate public health measures. Systematic registration of cooling towers will facilitate the identification of the source of outbreaks and help to shorten their duration. </abstracttext>]",['https://linkinghub.elsevier.com/retrieve/pii/S1438-4639(13)00114-4']
