"Kinoshita H, Ohuchi S, Arakawa K, Watanabe M, Kitazawa H, Saito T.",2016,27867805,Isolation of lactic acid bacteria bound to the porcine intestinal mucosa and an analysis of their moonlighting adhesins.,"Bioscience of microbiota, food and health","[<abstracttext>The adhesion of lactic acid bacteria (LAB) to the intestinal mucosa is one of the criteria in selecting for probiotics. Eighteen LAB were isolated from porcine intestinal mucin (PIM): ten strains of <i>Lactobacillus</i>, six strains of <i>Weissella</i>, and two strains of <i>Streptococcus</i>. Using sodium dodecyl sulfate polyacrylamide gel electrophoresis (SDS-PAGE) for phosphate-buffered saline (PBS) extracts from the LAB, many bands were detected in half of the samples, while a few and/or no clear bands were detected in the other half. All six of the selected LAB showed adhesion to PIM. <i>L. johnsonii</i> MYU 214 and MYU 221 showed adhesion at more than 10%. <i>W. viridescens</i> MYU 208, <i>L. reuteri</i> MYU 213, <i>L. mucosae</i> MYU 225, and <i>L. agilis</i> MYU 227 showed medium levels of adhesion at 5.9-8.3%. In a comprehensive analysis for the adhesins in the PBS extracts using a receptor overlay analysis, many moonlighting proteins were detected and identified as candidates for adhesins: GroEL, enolase, and elongation factor Tu in MYU 208; peptidase C1, enolase, formyl-CoA transferase, phosphoglyceromutase, triosephosphate isomerase, and phosphofructokinase in MYU 221; and DnaK, enolase, and phosphoglycerate kinase in MYU 227. These proteins in the PBS extracts, which included such things as molecular chaperones and glycolytic enzymes, may play important roles as adhesins.</abstracttext>]",['https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27867805/']
"Travers MA, Sow C, Zirah S, Deregnaucourt C, Chaouch S, Queiroz RM, Charneau S, Allain T, Florent I, Grellier P.",2016,27729900,Deconjugated Bile Salts Produced by Extracellular Bile-Salt Hydrolase-Like Activities from the Probiotic &lt;i&gt;Lactobacillus johnsonii&lt;/i&gt; La1 Inhibit &lt;i&gt;Giardia duodenalis In vitro&lt;/i&gt; Growth.,Frontiers in microbiology,"[<abstracttext>Giardiasis, currently considered a neglected disease, is caused by the intestinal protozoan parasite <i>Giardia duodenalis</i> and is widely spread in human as well as domestic and wild animals. The lack of appropriate medications and the spread of resistant parasite strains urgently call for the development of novel therapeutic strategies. Host microbiota or certain probiotic strains have the capacity to provide some protection against giardiasis. By combining biological and biochemical approaches, we have been able to decipher a molecular mechanism used by the probiotic strain <i>Lactobacillus johnsonii</i> La1 to prevent <i>Giardia</i> growth <i>in vitro</i>. We provide evidence that the supernatant of this strain contains active principle(s) not directly toxic to <i>Giardia</i> but able to convert non-toxic components of bile into components highly toxic to <i>Giardia</i>. By using bile acid profiling, these components were identified as deconjugated bile-salts. A bacterial bile-salt-hydrolase of commercial origin was able to mimic the properties of the supernatant. Mass spectrometric analysis of the bacterial supernatant identified two of the three bile-salt-hydrolases encoded in the genome of this probiotic strain. These observations document a possible mechanism by which <i>L. johnsonii</i> La1, by secreting, or releasing BSH-like activity(ies) in the vicinity of replicating <i>Giardia</i> in an environment where bile is present and abundant, can fight this parasite. This discovery has both fundamental and applied outcomes to fight giardiasis, based on local delivery of deconjugated bile salts, enzyme deconjugation of bile components, or natural or recombinant probiotic strains that secrete or release such deconjugating activities in a compartment where both bile salts and <i>Giardia</i> are present.</abstracttext>]","['https://dx.doi.org/10.3389/fmicb.2016.01453', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27729900/']"
"Bidart GN, Rodríguez-Díaz J, Palomino-Schätzlein M, Monedero V, Yebra MJ.",2016,27714445,Human milk and mucosal lacto- and galacto-N-biose synthesis by transgalactosylation and their prebiotic potential in Lactobacillus species.,Applied microbiology and biotechnology,"[<abstracttext>Lacto-N-biose (LNB) and galacto-N-biose (GNB) are major building blocks of free oligosaccharides and glycan moieties of glyco-complexes present in human milk and gastrointestinal mucosa. We have previously characterized the phospho-β-galactosidase GnbG from Lactobacillus casei BL23 that is involved in the metabolism of LNB and GNB. GnbG has been used here in transglycosylation reactions, and it showed the production of LNB and GNB with N-acetylglucosamine and N-acetylgalactosamine as acceptors, respectively. The reaction kinetics demonstrated that GnbG can convert 69 ± 4 and 71 ± 1 % of o-nitrophenyl-β-D-galactopyranoside into LNB and GNB, respectively. Those reactions were performed in a semi-preparative scale, and the synthesized disaccharides were purified. The maximum yield obtained for LNB was 10.7 ± 0.2 g/l and for GNB was 10.8 ± 0.3 g/l. NMR spectroscopy confirmed the molecular structures of both carbohydrates and the absence of reaction byproducts, which also supports that GnbG is specific for β1,3-glycosidic linkages. The purified sugars were subsequently tested for their potential prebiotic properties using Lactobacillus species. The results showed that LNB and GNB were fermented by the tested strains of L. casei, Lactobacillus rhamnosus (except L. rhamnosus strain ATCC 53103), Lactobacillus zeae, Lactobacillus gasseri, and Lactobacillus johnsonii. DNA hybridization experiments suggested that the metabolism of those disaccharides in 9 out of 10 L. casei strains, all L. rhamnosus strains and all L. zeae strains tested relies upon a phospho-β-galactosidase homologous to GnbG. The results presented here support the putative role of human milk oligosaccharides for selective enrichment of beneficial intestinal microbiota in breast-fed infants.</abstracttext>]",['https://dx.doi.org/10.1007/s00253-016-7882-0']
"Antonissen G, Eeckhaut V, Van Driessche K, Onrust L, Haesebrouck F, Ducatelle R, Moore RJ, Van Immerseel F.",2016,26950294,Microbial shifts associated with necrotic enteritis.,Avian pathology : journal of the W.V.P.A,"[<abstracttext>An outbreak of necrotic enteritis (NE) is a complex process requiring one or a number of predisposing factors rather than just the presence of pathogenic Clostridium perfringens. Examples are dietary influences, such as high levels of non-starch polysaccharides and fishmeal, and factors that evoke epithelial cell damage, such as Fusarium mycotoxins in feed and Eimeria infections. Recent studies have shown that different predisposing factors induce similar shifts in the intestinal microbiota composition. Butyrate-producing-strains of the Ruminococcaceae family are decreased in abundance by both fishmeal and Eimeria. Similarly, a decreased abundance of butyrate-producing-strains belonging to the Lachnospiraceae family has been induced by fishmeal. Also shifts are observed in the lactic acid-producing bacteria, such as decreased abundance of Lactobacillus johnsonii or Weissella confusa, when broilers were fed a fishmeal-based diet or a Fusarium mycotoxin contaminated diet. Finally, the abundance of Candidatus Savagella was decreased in broilers following Eimeria challenge or feeding a fumonisins contaminated diet. The nature of the microbiota shifts indicate that immune modulatory actions of the intestinal microbiota may play a critical role in the effect on the necrosis inducing activity of C. perfringens. Indeed, colonization with butyrate-producing bacteria plays a key role in counteracting inflammation in the gut and preserving intestinal integrity, while Candidatus Savagella is involved in stimulating Th17 and immunoglobulin A responses. Lactic acid bacteria stimulate colonization of lactate-utilizing and butyrate-producing Lachnospiraceae. Future research needs to clarify the role of the microbiota changes in the pathogenesis of NE. </abstracttext>]",['http://www.tandfonline.com/doi/full/10.1080/03079457.2016.1152625']
"Assefa S, Ahles K, Bigelow S, Curtis JT, Köhler GA.",2015,26719773,Lactobacilli with probiotic potential in the prairie vole (Microtus ochrogaster).,Gut pathogens,"[<abstracttext label=""BACKGROUND"" nlmcategory=""BACKGROUND"">Recent research suggests integration of the intestinal microbiota in gut-brain communication which could lead to new approaches to treat neurological disorders. The highly social prairie voles are an excellent model system to study the effects of environmental factors on social behavior. For future studies on the role of probiotics in ameliorating disorders with social withdrawal symptoms, we report the characterization of intestinal Lactobacillus isolates with probiotic potential from voles.</abstracttext>, <abstracttext label=""METHODS AND RESULTS"" nlmcategory=""RESULTS"">30 bacterial strains were isolated from the vole intestine and found to be distinct but closely related to Lactobacillus johnsonii using 16S rRNA gene sequencing and Random Amplification of Polymorphic DNA fingerprinting. In vitro characterizations including acid and bile tolerance, antimicrobial effects, antibiotic susceptibility, and adherence to intestinal epithelial cells were performed to assess the probiotic potential of selected strains. Since previous studies revealed that mercury ingestion triggers social deficits in voles, mercury resistance of the probiotic candidates was evaluated which could be an important factor in preventing/treating these behavioral changes.</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">This study demonstrates that lactobacilli with probiotic potential are present in the vole intestine. The Lactobacillus isolates identified in this study will provide a basis for the investigation of probiotic effects in the vole behavioral model system.</abstracttext>]","['https://gutpathogens.biomedcentral.com/articles/10.1186/s13099-015-0082-0', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/26719773/']"
"Panzer AR, Lynch SV.",2015,26002029,Influence and effect of the human microbiome in allergy and asthma.,Current opinion in rheumatology,"[<abstracttext label=""PURPOSE OF REVIEW"" nlmcategory=""OBJECTIVE"">Studies have illustrated that the healthy human microbiome (i.e. the communities of microbes, their genomic content and interaction with the host) plays a role in the maintenance of immune homeostasis. Perturbation of these communities is an emerging characteristic of an increasing number of inflammatory diseases. The goal of this article is to review the current literature on both respiratory and gut microbiomes and their established relationship with allergy and asthma.</abstracttext>, <abstracttext label=""RECENT FINDINGS"" nlmcategory=""RESULTS"">Multiple studies have demonstrated airway microbiota dysbiosis, characterized by Proteobacteria expansion in the lower airways, to be a consistent trait of established adult asthma. Members of this phylum are associated with disease features such as bronchial hyperreactivity or corticosteroid resistance. Emerging evidence implicates the neonatal gut microbiome as playing a significant role in the development of childhood atopy, a common precursor to asthma. Murine studies have demonstrated that specific bacterial species (e.g. Lactobacillus johnsonii, Bacteroides fragilis) and microbial metabolites (e.g. the short-chain fatty acid propionate), when supplemented to animals, confer protection against allergen-induced airway disorders.</abstracttext>, <abstracttext label=""SUMMARY"" nlmcategory=""CONCLUSIONS"">The emerging view of atopy and asthma is one consistently related to inappropriate microbial community composition and function in both the airway and gastrointestinal tract. This opens up the possibility that strategies to rationally manipulate microbiota at these sites may represent a novel approach to disease prevention or management.</abstracttext>]",['http://meta.wkhealth.com/pt/pt-core/template-journal/lwwgateway/media/landingpage.htm?issn=1040-8711&volume=27&issue=4&spage=373']
"Aiba Y, Nakano Y, Koga Y, Takahashi K, Komatsu Y.",2015,25771812,"A highly acid-resistant novel strain of Lactobacillus johnsonii No. 1088 has antibacterial activity, including that against Helicobacter pylori, and inhibits gastrin-mediated acid production in mice.",MicrobiologyOpen,"[<abstracttext>A novel strain of Lactobacillus johnsonii No. 1088 was isolated from the gastric juice of a healthy Japanese male volunteer, and characterized for its effectiveness in the stomach environment. Lactobacillus johnsonii No. 1088 was found to have the strongest acid resistance among several lactobacilli examined (&gt;10% of cells survived at pH 1.0 after 2 h), and such a high acid resistance property was a specific characteristic of this strain of L. johnsonii. When cultured with various virulent bacteria, L. johnsonii No. 1088 inhibited the growth of Helicobacter pylori, Escherichia coli O-157, Salmonella Typhimurium, and Clostridium difficile, in which case its effectiveness was more potent than that of a type strain of L. johnsonii, JCM2012. In addition to its effect in vitro, L. johnsonii No. 1088 inhibited the growth of H. pylori in human intestinal microbiota-associated mice in both its live and lyophilized forms. Moreover, L. johnsonii No. 1088 suppressed gastric acid secretion in mice via decreasing the number of gastrin-positive cells in the stomach. These results taken together suggest that L. johnsonii No. 1088 is a unique lactobacillus having properties beneficial for supporting H. pylori eradication by triple therapy including the use of a proton pump inhibitor (PPI) and also for prophylaxis of gastroesophageal reflux disease possibly caused after H. pylori eradication as a side effect of PPI. </abstracttext>]","['http://dx.doi.org/10.1002/mbo3.252', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/25771812/']"
"Starke IC, Zentek J, Vahjen W.",2015,25519527,Effects of the probiotic Enterococcus faecium NCIMB 10415 on selected lactic acid bacteria and enterobacteria in co-culture.,Beneficial microbes,"[<abstracttext>Enterococcus faecium NCIMB 10415 is used as a probiotic for piglets and has been shown to modify the porcine intestinal microbiota. However, the mode of action of this probiotic modification is still unclear. One possible explanation is the direct growth inhibiting or stimulating effect of the probiotic on other indigenous bacteria. Therefore, the aim of the present study was to examine the growth interactions of the probiotic with different indigenous porcine bacteria in vitro. Reference strains were cultivated with the probiotic E. faecium strain NCIMB10415 (SF68) in a checkerboard assay with 102 to 105 cells/ml inoculum per strain. Growth kinetics were recorded for 8 h and used to determine specific growth of the co-cultures. Additionally, total DNA was extracted from the co-cultures at the end of the incubation to verify which strain in the co-culture was affected. Co-cultivation with eight Enterococcus spp. tester strains showed strain-specific growth differences. Three of four E. faecium strains were not influenced by the probiotic strain. PCR results showed reduced growth of the probiotic strain in co-culture with E. faecium DSM 6177. Three of four Enterococcus faecalis strains showed reduced specific growth in co-culture with the probiotic strain. However, E. faecalis DSM 20478 impaired growth of the probiotic E. faecium strain. The growth of Lactobacillus johnsonii DSM 10533 and Lactobacillus reuteri DSM 20016 was enhanced in co-culture with the probiotic strain, but co-cultivations with Lactobacillus mucosae DSM13345 or Lactobacillus amylovorus DSM10533 showed no differences. Co-cultures with the probiotic E. faecium showed no impact on the growth rate of four different enterobacterial reference strains (2 strains of Salmonella enterica and 2 strains of Escherichia coli), but PCR results showed reduced cell numbers for a pathogenic E. coli isolate at higher concentration of the probiotic strain. As the in vitro effect of the probiotic E. faecium on enterococci was strain specific and the growth of certain Lactobacillus spp. was enhanced by the probiotic, these results indicate a direct effect of the probiotic on certain members of the porcine gastro intestinal microbiota.</abstracttext>]",['http://www.wageningenacademic.com/doi/abs/10.3920/BM2014.0052?url_ver=Z39.88-2003&rfr_id=ori:rid:crossref.org&rfr_dat=cr_pub%3dpubmed']
"Tran H, Bundy JW, Hinkle EE, Walter J, Burkey TE, Miller PS.",2014,25184835,"Effects of a yeast-dried milk product in creep and phase-1 nursery diets on growth performance, circulating immunoglobulin A, and fecal microbiota of nursing and nursery pigs.",Journal of animal science,"[<abstracttext>Four experiments were conducted to evaluate effects of yeast-dried milk (YDM) product in creep and phase-1 nursery diets. In Exp. 1, 24 parity-4 litters were allotted to 3 dietary treatments (8 litters/treatment) including no creep (NC), control creep (CTL), and experimental creep (EC; 10% YDM). Creep diets were fed twice daily from d 7 after birth until weaning (23.6 ± 1.8 d). In Exp. 2, 108 weaned pigs were selected based on mean BW of pigs from the respective treatments in Exp. 1. For phase 1 (d 0 to 7 postweaning) of Exp. 2, NC and CTL pigs were fed the CTL diet and EC pigs continued to receive the EC diet. For phase 2 and 3 (d 7 to 28 postweaning) of Exp. 2, all pigs received a common diet containing antibiotics. Blood and fecal samples were collected on d 0, 7, 14, and 21 postweaning to evaluate serum IgA and fecal microbiota. In Exp. 1, pigs fed EC and CTL tended to have greater (P &lt; 0.10) weaning BW compared with NC pigs. Pigs fed EC had greater (P &lt; 0.05) ADFI compared with CTL pigs. In Exp. 2, pigs fed EC tended to have greater BW (P &lt; 0.10) and greater ADG (P &lt; 0.05) and ADFI (P &lt; 0.01) compared with CTL and NC pigs (d 0 to 28). For serum IgA, EC and CTL pigs tended (P &lt; 0.10) to have greater IgA compared with NC pigs. For microbial data, EC pigs had greater (P &lt; 0.01) microbial diversity compared with CTL (d 7 postweaning). On d 7 and 21 postweaning, microbial similarity decreased (P &lt; 0.01) in pigs fed EC compared with NC and CTL. Overall (d 0 to 14), lactobacilli gene copy numbers tended (P &lt; 0.10) to be greater in EC (7.3 log10) compared with NC pigs (6.9 log10). In Exp. 3, 23 parity-1 litters were allotted to 3 dietary treatments as described for Exp. 1. In Exp. 4, 108 weaned pigs were selected based on mean BW of all pigs from Exp. 3 and dietary treatments were the same as described for Exp. 2 except no antibiotic was included in phase-2 diet. In Exp. 3, there were no treatment effects on litter ADFI, ADG, and serum IgA, but a tendency (P &lt; 0.10) for lower Lactobacillus reuteri in the CTL (5.1 log10) compared with NC pigs (5.6 log10) was observed. Overall (d 0 to 21) in Exp. 4, pigs fed EC had greater ADG (P &lt; 0.01) and G:F (P &lt; 0.05) and tended to exhibit greater ADFI (P &lt; 0.10) compared with the CTL. For microbial data, pigs fed CTL (4.8 log10) and EC (4.8 log10) had lower (P &lt; 0.01) fecal Lactobacillus johnsonii compared with NC (5.2 log10). Microbial ecology and immune parameters are affected by YDM. </abstracttext>]",['http://www.animalsciencepublications.org/publications/jas/articles/92/10/4518']
"Tanabe S, Suzuki T, Wasano Y, Nakajima F, Kawasaki H, Tsuda T, Nagamine N, Tsurumachi T, Sugaya K, Akita H, Takagi M, Takagi K, Inoue Y, Asai Y, Morita H.",2014,25013357,Anti-inflammatory and Intestinal Barrier-protective Activities of Commensal Lactobacilli and Bifidobacteria in Thoroughbreds: Role of Probiotics in Diarrhea Prevention in Neonatal Thoroughbreds.,Journal of equine science,"[<abstracttext>We previously isolated the commensal bacteria lactobacilli and bifidobacteria from the Thoroughbred intestine and prepared the horse probiotics LacFi(TM), consisting of Lactobacillus ruminis KK14, L. equi KK 15, L. reuteri KK18, L. johnsonii KK21, and Bifidobacterium boum HU. Here, we found that the five LacFi(TM) constituent strains remarkably suppressed pro-inflammatory interleukin-17 production in mouse splenocytes stimulated with interleukin-6 and transforming growth factor-β. The protective effects of the probiotic on impaired intestinal barrier function were evaluated in Caco-2 cells treated with tumor necrosis factor-α. Evaluation of transepithelial resistance showed that all the strains exhibited intestinal barrier protective activity, with significant suppression of barrier impairment by L. reuteri KK18. The LacFi(TM) constituent strains were detected in neonatal LacFi(TM)-administered Thoroughbred feces using polymerase chain reaction denaturing gradient gel electrophoresis and culture methods. These five strains were found to be the predominant lactobacilli and bifidobacteria in the intestinal microbiota of LacFi(TM)-administered Thoroughbreds. Administration of LacFi(TM) to neonatal Thoroughbreds decreased diarrhea incidence from 75.9% in the control group (n=29 neonatal Thoroughbreds) to 30.7% in the LacFi(TM)-administered group (n=101 neonatal Thoroughbreds) immediately after birth to 20 weeks after birth. LacFi(TM) treatment also prevented diarrhea especially at and around 4 weeks and from 10 to 16 weeks. The duration of diarrhea was also shorter in the probiotics-administered group (7.4 ± 0.8 days) than in the control group (14.0 ± 3.2 days). These results indicate that the LacFi(TM) probiotics regulates intestinal function and contributes to diarrhea prevention. </abstracttext>]",['https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/25013357/']
