"Lin J, Wang K, Wang H, Shao Q, Luan Y, Xu Y, Song X, Tan W, Liu S, Wei F, Qu X.",2017,28004293,Fucoidan reduced the invasion of oral squamous cell carcinoma cells and modified their effects to macrophages.,"Medical oncology (Northwood, London, England)","[<abstracttext>Fucoidan is a complex of polysaccharides showing antitumor and immunomodulation properties. Our previous studies found its regulation to myeloid immune cells, including macrophages. Aberrant infiltration and functions of macrophages are commonly found in oral squamous cell carcinoma (OSCC). In this study, we analyzed the effects of fucoidan on invasion of OSCC cells, and their regulation to macrophages, trying to evaluate its role as a potential therapy for OSCC. CAL27 and THP-1-derived macrophages were used as models for OSCC cells and tumor-infiltrated macrophages in the in vitro study, respectively. The effects of fucoidan on invasion of OSCC cells and their recruitment to macrophages were analyzed by transwell assay. KIF4A siRNA transfection was performed to investigate its role in fucoidan-modulated OSCC cells invasion. CCL3-neutralizing antibody was added into the conditioned medium of OSCC cells to evaluate its role in fucoidan-mediated macrophages recruitment and re-education. Fucoidan reduced the invasive potential of CAL27 cells with a decrease of MMP-2 and KIF4A transcription. KIF4A knockdown in CAL27 cells led to decreased invasion and MMP-2 expression. The conditioned medium of fucoidan-treated CAL27 cells promoted recruitment and inflammatory cytokines secretion on THP-1-derived macrophages. Further analysis found that fucoidan increased CCL3 production in CAL27 cells. Blocking CCL3 expression reversed the effects of fucoidan on macrophage recruitment and re-education. Our study found that fucoidan regulated the invasion of OSCC cells and also their recruiting and re-educating effects on macrophages, suggesting it could be a complementary approach in the treatment of OSCC.</abstracttext>]",['https://dx.doi.org/10.1007/s12032-016-0858-1']
"Ju Z, Ma J, Wang C, Yu J, Qiao Y, Hei F.",2016,28000095,Exosomes from iPSCs Delivering siRNA Attenuate Intracellular Adhesion Molecule-1 Expression and Neutrophils Adhesion in Pulmonary Microvascular Endothelial Cells.,Inflammation,"[<abstracttext>The pro-inflammatory activation of pulmonary microvascular endothelial cells resulting in continuous expression of cellular adhesion molecules, and subsequently recruiting primed neutrophils to form a firm neutrophils-endothelium (PMN-EC) adhesion, has been examined and found to play a vital role in acute lung injury (ALI). RNA interference (RNAi) is a cellular process through harnessing a natural pathway silencing target gene based on recognition and subsequent degradation of specific mRNA sequences. It opens a promising approach for precision medicine. However, this application was hampered by many obstacles, such as immunogenicity, instability, toxicity problems, and difficulty in across the biological membrane. In this study, we reprogrammed urine exfoliated renal epithelial cells into human induced pluripotent stem cells (huiPSCs) and purified the exosomes (Exo) from huiPSCs as RNAi delivery system. Through choosing the episomal system to deliver transcription factors, we obtained a non-integrating huiPSCs. Experiments in both vitro and vivo demonstrated that these huiPSCs possess the pluripotent properties. The exosomes of huiPSCs isolated by differential centrifugation were visualized by transmission electron microscopy (TEM) showing a typical exosomal appearance with an average diameter of 122 nm. Immunoblotting confirmed the presence of the typical exosomal markers, including CD63, TSG 101, and Alix. Co-cultured PKH26-labeled exosomes with human primary pulmonary microvascular endothelial cells (HMVECs) confirmed that they could be internalized by recipient cells at a time-dependent manner. Then, electroporation was used to introduce siRNA against intercellular adhesion molecule-1 (ICAM-1) into exosomes to form an Exo/siRNA compound. The Exo/siRNA compound efficiently delivered the target siRNA into HMVECs causing selective gene silencing, inhibiting the ICAM-1 protein expression, and PMN-EC adhesion induced by lipopolysaccharide (LPS). These data suggest that huiPSCs exosomes could be used as a natural gene delivery vector to transport therapeutic siRNAs for alleviating inflammatory responses in recipient cells.</abstracttext>]",['https://dx.doi.org/10.1007/s10753-016-0494-0']
"Li F, Zheng Y, Smith SD, Shic F, Moore CC, Zheng X, Qi Y, Liu Z, Leckman JF.",2016,27999615,A preliminary study of movement intensity during a Go/No-Go task and its association with ADHD outcomes and symptom severity.,Child and adolescent psychiatry and mental health,"[<abstracttext label=""OBJECTIVE"" nlmcategory=""OBJECTIVE"">At present, there are no well-validated biomarkers for attention-deficit/hyperactivity disorder (ADHD). The present study used an infrared motion tracking system to monitor and record the movement intensity of children and to determine its diagnostic precision for ADHD and its possible associations with ratings of ADHD symptom severity.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">A Microsoft motion sensing camera recorded the movement of children during a modified Go/No-Go Task. Movement intensity measures extracted from these data included a composite measure of total movement intensity (TMI measure) and a movement intensity distribution (MID measure) measure across 15 frequency bands (FB measures). In phase 1 of the study, 30 children diagnosed with ADHD or at subthreshold for ADHD and 30 matched healthy controls were compared to determine if measures of movement intensity successfully distinguished children with ADHD from healthy control children. In phase 2, associations between measures of movement intensity and clinician-rated ADHD symptom severity (Clinical Global Impression Scale [CGI] and the ADHD-Rating Scale IV [ADHD-RS]) were examined in a subset of children with ADHD (n = 14) from the phase I sample.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">Both measures of movement intensity were able to distinguish children with ADHD from healthy controls. However, only the measures linked to the 15 pre-determined 1 Hz frequency bands were significantly correlated with both the CGI scores and ADHD-RS total scores.</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">Preliminary findings suggest that measures of movement intensity, particularly measures linked to the 10-11 and 12-13 Hz frequency bands, have the potential to become valid biomarkers for ADHD.</abstracttext>]","['https://capmh.biomedcentral.com/articles/10.1186/s13034-016-0135-2', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27999615/']"
"Zhang Q, Lv H, Wang L, Chen M, Li F, Liang C, Yu Y, Jiang F, Lu A, Zhang G.",2016,27999357,Recent Methods for Purification and Structure Determination of Oligonucleotides.,International journal of molecular sciences,"[<abstracttext>Aptamers are single-stranded DNA or RNA oligonucleotides that can interact with target molecules through specific three-dimensional structures. The excellent features, such as high specificity and affinity for target proteins, small size, chemical stability, low immunogenicity, facile chemical synthesis, versatility in structural design and engineering, and accessible for site-specific modifications with functional moieties, make aptamers attractive molecules in the fields of clinical diagnostics and biopharmaceutical therapeutics. However, difficulties in purification and structural identification of aptamers remain a major impediment to their broad clinical application. In this mini-review, we present the recently attractive developments regarding the purification and identification of aptamers. We also discuss the advantages, limitations, and prospects for the major methods applied in purifying and identifying aptamers, which could facilitate the application of aptamers.</abstracttext>]",['http://www.mdpi.com/resolver?pii=ijms17122134']
"Li M, Liu X, Cai H, Shen Z, Xu L, Li W, Wu L, Duan J, Chen Z.",2016,27999290,Validation and Application of an Ultra High-Performance Liquid Chromatography Tandem Mass Spectrometry Method for Yuanhuacine Determination in Rat Plasma after Pulmonary Administration: Pharmacokinetic Evaluation of a New Drug Delivery System.,"Molecules (Basel, Switzerland)","[<abstracttext>Yuanhuacine was found to have significant inhibitory activity against A-549 human lung cancer cells. However, there would be serious adverse toxicity effects after systemic administration of yuanhuacine, such as by oral and intravenous ways. In order to achieve better curative effect and to alleviate the adverse toxicity effects, we tried to deliver yuanhuacine directly into the lungs. Ultra high-performance liquid chromatography tandem mass spectrometry (UHPLC-MS/MS) was used to detect the analyte and IS. After extraction (ether:dichloromethane = 8:1), the analyte and IS were separated on a Waters BEH-C<sub>18</sub> column (100 mm × 2.1 mm, 1.7 μm) under a 5 min gradient elution using a mixture of acetonitrile and 0.1% formic acid aqueous solution as mobile phase at a flow rate of 0.3 mL/min. ESI positive mode was chosen for detection. The method was fully validated for its selectivity, accuracy, precision, stability, matrix effect, and extraction recovery. This new method for yuanhuacine concentration determination in rat plasma was reliable and could be applied for its preclinical and clinical monitoring purpose.</abstracttext>]",['http://www.mdpi.com/resolver?pii=molecules21121733']
"Yang Y, Yao B, Lei M, Dan D, Li R, Horn MV, Chen X, Li Y, Ye T.",2016,27997624,Two-Photon Laser Scanning Stereomicroscopy for Fast Volumetric Imaging.,PloS one,"[<abstracttext>Bessel beams have been successfully used in two-photon laser scanning fluorescence microscopy to extend the depth of field (EDF), which makes it possible to observe fast events volumetrically. However, the depth information is lost due to integration of fluorescence signals along the propagation direction. We describe the design and implementation of two-photon lasers scanning stereomicroscopy, which allows viewing dynamic processes in three-dimensional (3D) space stereoscopically in real-time with shutter glasses at the speed of 1.4 volumes per second. The depth information can be appreciated by human visual system or be recovered with correspondence algorithms for some cases.</abstracttext>]",['http://dx.plos.org/10.1371/journal.pone.0168885']
"Gao Y, Zhu Y, Yuan Z.",2016,27994495,Circulating Tumor Cells and Circulating Tumor DNA Provide New Insights into Pancreatic Cancer.,International journal of medical sciences,"[<abstracttext>Pancreatic cancer has a rather dismal prognosis mainly due to high malignance of tumor biology. Up to now, the relevant researches on pancreatic cancer lag behind seriously partly due to the obstacles for tissue biopsy, which handicaps the understanding of molecular and genetic features of pancreatic cancer. In the last two decades, liquid biopsy, including circulating tumor cells (CTCs) and circulating tumor DNA (ctDNA), is promising to provide new insights into the biological and clinical characteristics of malignant tumors. Both CTCs and ctDNA provide an opportunity for studying tumor heterogeneity, drug resistance, and metastatic mechanism for pancreatic cancer. Furthermore, they can also play important roles in detecting early-stage tumors, providing prognostic information, monitoring tumor progression and guiding treatment regimens. In this review, we will introduce the latest findings on biological features and clinical applications of both CTCs and ctDNA in pancreatic cancer. In a word, CTCs and ctDNA are promising to promote precision medicine in pancreatic cancer.</abstracttext>]","['http://www.medsci.org/v13p0902.htm', 'https://www.ncbi.nlm.nih.gov/pmc/articles/pmid/27994495/']"
"Li J, Luo H, Song F, Zhang L, Deng C, Yu Z, Gao T, Liao M, Hou Y.",2016,27992828,Validation of the Microreader™ 23sp ID system: A new STR 23-plex system for forensic application.,Forensic science international. Genetics,"[<abstracttext>Microreader™ 23sp ID system is a new 23-plex STR genotyping system that amplified 21 non-CODIS STR loci (D6S477, D18S535, D19S253, D15S659, D11S2368, D20S470, D1S1656, D22-GATA198B05, D7S3048, D8S1132, D4S2366, D21S1270, D13S325, D9S925, D3S3045, D14S608, D10S1435, D12S391, D2S1338, D17S1290 and D5S2500), one CODIS STR locus (D16S539) and the amelogenin locus in one reaction. Microreader™ 23sp ID system was validated according to the guidelines of ""Validation Guidelines for DNA Analysis Methods (2012)"" described by the Scientific Working Group on DNA Analysis Methods (SWGDAM), including PCR-based studies, sensitivity study, precision and accuracy evaluation, stutter percentage and peak height ratio, inhibitors, species specificity and DNA mixture studies. Our results suggested that Microreader™ 23sp ID system is a useful tool for identification and parentage testing.</abstracttext>]",['https://linkinghub.elsevier.com/retrieve/pii/S1872-4973(16)30238-1']
"Liu R, Zheng Z, Du J, Christoffel KK, Liu X.",2016,27992538,"Racial Disparity in the Associations of Cotinine with Insulin Secretion: Data from the National Health and Nutrition Examination Survey, 2007-2012.",PloS one,"[<abstracttext label=""BACKGROUND"" nlmcategory=""BACKGROUND"">Although relationships between smoking/high cotinine and type 2 diabetes have consistently been observed, few studies have investigated the relationship between cotinine and underlying pathophysiological defects that characterize diabetes aetiology. This study aimed to test the associations between cotinine and measures of insulin resistance or insulin secretion.</abstracttext>, <abstracttext label=""METHODS"" nlmcategory=""METHODS"">This analysis included 5,751 non-diabetic adult American from the National Health and Nutrition Examination Survey (NHANES) from 2007-2012. Insulin function was represented with two indexes: insulin resistance index (HOMA-IR) and insulin secretion index (HOMA-B) estimated by homeostasis model assessment. We categorized cotinine levels into quartiles and estimated the odds of HOMA-IR in the 4th quartile and HOMA-B in the 1st quartile among cotinine categories using multiple logistic regression models.</abstracttext>, <abstracttext label=""RESULTS"" nlmcategory=""RESULTS"">Cotinine concentration was not associated with the risk of high HOMA-IR. Association of cotinine with low HOMA-B existed and differed by race/ethnicity (P for interaction&lt;0.05). High cotinine concentration (in the 4th quartile) was associated with an increased risk of low HOMA-B compared with low cotinine concentrations(1st -2nd quartiles) among white (odds ratio[OR], 1.51 [95% confidence interval[CI], 1.16-1.97]) or black participants (OR, 2.98 [95%CI, 1.90-4.69]) but not among Mexican (OR, 1.79 [95%CI, 0.90-3.53]) or other Hispanic(OR, 1.02 [95%CI, 0.56-1.86]) participants. Such associations remained significant even after further adjustment for HOMA-IR.</abstracttext>, <abstracttext label=""CONCLUSIONS"" nlmcategory=""CONCLUSIONS"">High cotinine is associated with decreased insulin secretion function only in white and black non-diabetic U.S. adult population. Results evaluating cotinine in ethnically homogeneous populations may not be broadly generalizable to other racial/ethnic groups.</abstracttext>]",['http://dx.plos.org/10.1371/journal.pone.0167260']
"Sun X, Cai X, Yang J, Chen J, Guo C, Cao P.",2016,27989101,Cantharidin Overcomes Imatinib Resistance by Depleting BCR-ABL in Chronic Myeloid Leukemia.,Molecules and cells,"[<abstracttext>Cantharidin (CTD) is an active compound isolated from the traditional Chinese medicine blister beetle and displayed anticancer properties against various types of cancer cells. However, little is known about its effect on human chronic myeloid leukemia (CML) cells, including imatinib-resistant CML cells. The objective of this study was to investigate whether CTD could overcome imatinib resistance in imatinib-resistant CML cells and to explore the possible underlying mechanisms associated with the effect. Our results showed that CTD strongly inhibited the growth of both imatinib-sensitive and imatinib-resistant CML cells. CTD induced cell cycle arrest at mitotic phase and triggered DNA damage in CML cells. The ATM/ATR inhibitor CGK733 abrogated CTD-induced mitotic arrest but promoted the cytotoxic effects of CTD. In addition, we demonstrated that CTD downregulated the expression of the BCR-ABL protein and suppressed its downstream signal transduction. Real-time quantitative PCR revealed that CTD inhibited BCR-ABL at transcriptional level. Knockdown of BCR-ABL increased the cell-killing effects of CTD in K562 cells. These findings indicated that CTD overcomes imatinib resistance through depletion of BCRABL. Taken together, CTD is an important new candidate agent for CML therapy.</abstracttext>]",['https://dx.doi.org/10.14348/molcells.2016.0023']
